line,trip,hour,num_val,output_escalator_count,output_doors_count,output_turnstile_count,input_turnstile_total_bandwidth,input_turnstile_count,input_doors_count,entry_id,year,month,day,cluster
АРБАТСК-ПОКРОВСК,Измайловская - Измайловская,16.0,418.0,0.0,3.0,5.0,5.0,5.0,3.0,4.0,2023,4,20,0
СОКОЛЬНИЧЕСКАЯ,Преображенск. пл - Преображенск. пл,10.0,994.0,0.0,4.0,0.0,8.0,8.0,4.0,2.0,2023,1,30,0
СЕРПУХОВ-ТИМИРЯЗ,Владыкино - Владыкино,20.0,254.0,0.0,4.0,8.0,11.0,11.0,4.0,1.0,2023,1,12,0
ЛЮБЛИНСКАЯ,Римская - Римская,7.0,321.0,0.0,2.0,8.0,6.0,6.0,4.0,5.0,2023,7,2,2
КАЛУЖСКО-РИЖСКАЯ,Бабушкинская - Бабушкинская,12.0,1315.0,0.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,5,11,0
МЦК,Сокол. гора МЦК - Сокол. гора МЦК,19.0,117.0,,,,,,,,2023,3,26,0
СОКОЛЬНИЧЕСКАЯ,Спортивная - Спортивная,15.0,841.0,0.0,4.0,0.0,12.0,12.0,4.0,1.0,2023,6,19,1
КАЛИНИНСКАЯ,Перово - Перово,5.0,305.0,0.0,4.0,0.0,9.0,9.0,4.0,3.0,2023,4,4,2
КАЛИНИНСКАЯ,Площадь Ильича - Площадь Ильича,16.0,1221.0,0.0,3.0,7.0,13.0,13.0,3.0,5.0,2023,4,26,1
ТАГАНСК-КРАСНОПР,Выхино - Выхино,22.0,204.0,0.0,0.0,0.0,15.0,15.0,4.0,4.0,2023,1,15,1
СЕРПУХОВ-ТИМИРЯЗ,Б-р Дм. Донского - Б-р Дм. Донского,15.0,1315.0,0.0,4.0,6.0,11.0,11.0,4.0,1.0,2023,3,24,0
БКЛ,Аминьевская - Аминьевская,17.0,1281.0,,,,,,,,2023,2,3,0
ТАГАНСК-КРАСНОПР,Баррикадная - Баррикадная,19.0,989.0,0.0,4.0,0.0,10.0,10.0,4.0,5.0,2023,8,6,1
ТАГАНСК-КРАСНОПР,Планерная - Планерная,21.0,71.0,2.0,4.0,2.0,12.0,12.0,4.0,13.0,2023,1,20,1
СЕРПУХОВ-ТИМИРЯЗ,Пражская - Пражская,8.0,828.0,0.0,4.0,4.0,8.0,8.0,4.0,2.0,2023,7,6,0
СОКОЛЬНИЧЕСКАЯ,Преображенск. пл - Преображенск. пл,21.0,307.0,0.0,4.0,0.0,8.0,8.0,4.0,1.0,2023,8,6,0
ЛЮБЛИНСКАЯ,Дубровка - Дубровка,21.0,745.0,0.0,5.0,8.0,10.0,10.0,5.0,5.0,2023,4,15,1
КАЛУЖСКО-РИЖСКАЯ,Тургеневская - Тургеневская,6.0,74.0,3.0,6.0,0.0,12.0,12.0,6.0,5.0,2023,4,13,1
КАЛУЖСКО-РИЖСКАЯ,Шаболовская - Шаболовская,12.0,615.0,0.0,4.0,10.0,7.0,7.0,4.0,5.0,2023,4,16,0
СЕРПУХОВ-ТИМИРЯЗ,Б-р Дм. Донского - Б-р Дм. Донского,20.0,602.0,0.0,0.0,4.0,4.0,4.0,0.0,16.0,2023,3,13,0
ЛЮБЛИНСКАЯ,Крест. застава - Крест. застава,3.0,1.0,0.0,5.0,8.0,6.0,6.0,5.0,5.0,2023,5,9,2
СОЛНЦЕВСКАЯ ЛИН.,Солнцево - Солнцево,10.0,302.0,,,,,,,,2023,1,9,2
СЕРПУХОВ-ТИМИРЯЗ,Полянка - Полянка,23.0,348.0,0.0,5.0,8.0,9.0,9.0,5.0,5.0,2023,6,30,1
